Subject,Item,Target,Response,Condition
1,1,accessary,accessory,
1,2,ad,add,
1,3,ail,ale,
1,4,all,awl,
1,5,allowed,aloud,
1,6,bail,bale,
1,7,ball,bawl,
1,8,bare,bear,
1,9,beach,beech,
1,10,cell,sell,
1,11,censor,sensor,
1,12,cereal,serial,
1,13,chord,cord,
1,14,coarse,course,
1,15,council,counsel,
1,16,dear,deer,
1,17,desert,dessert,
1,18,dual,duel,
1,19,fair,fare,
1,20,feet,feat,
1,21,flea,flee,
1,22,flour,flower,
1,23,hoarse,horse,
1,24,knot,not,
1,25,leach,leech,
1,26,lessen,lesson,
1,27,made,maid,
1,28,mail,male,
1,29,main,mane,
1,30,mantel,mantel,
1,31,morning,mourning,
1,32,pedal,peddle,
1,33,peer,pier,
1,34,pi,pie,
1,35,read,red,
1,36,read,reed,
1,37,rose,rows,
1,38,rote,wrote,
1,39,sale,sail,
1,40,shear,sheer,
1,41,spade,spayed,
1,42,sweet,suite,
1,43,through,thorough,
1,44,troop,troupe,
1,45,vain,vein,
1,46,waive,wave,
1,47,war,wore,
1,48,weak,week,
1,49,weather,whether,
1,50,whet,wet,
1,51,wrap,rap,
1,52,wrung,rung,
