List 1,List 2,List 3,List 4,List 5,List 6
NUTMEG,WINDMILL,MANUAL,SOLAR,CHIFFON,DOOR
VANILLA,DREIDEL,DESERT,CANOE,DENIUM,GAZEBO
THYME,SATELLITE,HELMET,BLOSSOM,CHEESE CLOTH,RULER
CUMIN,SPIRAL,CANDY,DENTIST,BURLAP,ROCKING HORSE
ONION SALT,TORNADO,INDEX,MATH,WORSTED,HOUSE
CHIVES,PINWHEEL,ORPHAN,ACORN,ANGORA,BARN
BASIL,ORB,WAX,NUGGET,TWILL,SLED
CURRY,ROTISSERIE,LANTERN,CANON,CORDUROY,BASEBALL BAT
HORSERADISH,GEAR,HERMIT,ANGEL,ALPACA,TABLE
BAY LEAVES,GYROSCOPE,HARVEST,VALVE,TERRY,BENCH
TURMERIC,RECORD,KEG,KEROSENE,JERSEY,CABINET
CELERY SEED,SPOOL,DEBT,PINT,CALICO,STAIRS
SAGE,YO-YO,EPISODE,FARM,TWEED,CLOGS
GINGER,BOTTLE,WHALE,FUNK,SHEEPSKIN,SHELF
ALMOND,BICYCLE,BISHOP,INFANT,LACE,CHAIR
OREGANO,PROPELLER,EMPRESS,CREST,FLANNEL,DOCK
CHILI POWDER,SPHERE,JAM,VAPOR,FELT,DESK
CLOVES,ROULETTE,ACRE,CANE,LYCRA,PENCIL
SUGAR,TOP,METEOR,QUICHE,POLYESTER,SHIP
ROSEMARY,HURRICANE,CANTEEN,OUTLAW,LINEN,BOOMERANG
